Pattern 0: (AudatexReceipt 0,3 RefCompPDVE)
Pattern 1: (ClaimEdited 0,10 IsoNoMatchRpt)
Pattern 2: (ClaimReopened 0,2 ClaimActivityLog)
Pattern 3: (ClaimReopened 0,1 Vehicle)
Pattern 4: (ClaimReported 0,2 AssociatedToClaim)
Pattern 5: (ClaimReported 1,2 RefRemFromInbox)
Pattern 6: (ClaimSetup 0,2 AssociatedToClaim)
Pattern 7: (ClaimSetup 0,2 RefRemFromInbox)
Pattern 8: (ClaimSummary 4,8 AssociatedToClaim)
Pattern 9: (ClaimSummary 0,6 XPayAuthApprv)
Pattern 10: (COPSCarAsgSentCRP 0,10 IsoNoMatchRpt)
Pattern 11: (DocAddInProgress 0,1 RefRespGeneral)
Pattern 12: (DocumentAdded 0,1 RefRespGeneral)
Pattern 13: (FYISent 11,14 ReceiptItem)
Pattern 14: (FYISent 20,23 RefSentCRD)
Pattern 15: (Inbound 45,46 RefSentAuthority)
Pattern 16: (InitialContact 0,10 IsoNoMatchRpt)
Pattern 17: (InitialContact 1,2 Medicare)
Pattern 18: (IsoDataErrRpt 14,15 ReviewRemFromInbox)
Pattern 19: (LiabilityAnalysis 0,10 IsoNoMatchRpt)
Pattern 20: (PerilActivity 0,10 IsoNoMatchRpt)
Pattern 21: (Perils/Reserves 25,28 AudatexReceipt)
Pattern 22: (Perils/Reserves 25,28 VehicleEdited)
Pattern 23: (ReceiptItem 35,37 ItemCompleteDenial)
Pattern 24: (ReceiptItem 35,37 ManualDeny)
Pattern 25: (Referral 1,2 Medicare)
Pattern 26: (Referral 1,2 RefRespGeneral)
Pattern 27: (RefRespAuthority 4,5 RefRemFromInbox)
Pattern 28: (RefRespGeneral 22,24 Outbound)
Pattern 29: (RefRespPD 22,26 RefRemFromInbox)
Pattern 30: (RefRespRCC 0,2 ClaimActivityLog)
Pattern 31: (RefRespRCC 0,2 DocAddInProgress)
Pattern 32: (RefRespRCC 0,2 DocumentAdded)
Pattern 33: (RefRespRCC 0,1 Inbound)
Pattern 34: (RefRespRCC 0,6 RefRemFromInbox)
Pattern 35: (RefSentAuthority 0,3 DocAddInProgress)
Pattern 36: (RefSentAuthority 0,3 DocumentAdded)
Pattern 37: (RefSentGeneral 0,2 RefRespGeneral)
Pattern 38: (RefSentSalvage 2,3 RefRemFromInbox)
Pattern 39: (RefSentSalvage 0,2 RefRespSalvage)
Pattern 40: (Rental 0,1 ReviewRemFromInbox)
Pattern 41: (ReturnFrBillAudit 0,2 ManualPayment)
Pattern 42: (RouteToInbox 1,3 AssociatedToClaim)
Pattern 43: (Salvage 0,2 Referral)
Pattern 44: (SentToBillAudit 0,2 ManualPayment)
Pattern 45: (SuspendedItem 1,2 AssociatedToClaim)
Pattern 46: (SuspendedItem 0,10 IsoNoMatchRpt)
Pattern 47: (SuspendedItem 19,21 ReturnFrBillAudit)
Pattern 48: (SuspendedItem 19,21 SentToBillAudit)
Pattern 49: (Suspense 19,21 ReturnFrBillAudit)
Pattern 50: (Suspense 19,21 SentToBillAudit)
Pattern 51: (TLWCompleteTtlLoss 0,3 RefRemFromInbox)
Pattern 52: (Vehicle 0,3 RefAssign)
Pattern 53: (VehicleEdited 20,29 AssociatedToClaim)
Pattern 54: (VehicleEdited 20,29 AssociatedToParty)
Pattern 55: (XPayAuthLimit 6,9 Vehicle)
Pattern 273: (Rental 21,22 (((DocAddInProgress 1,3 DocumentAdded) 1,3 DocumentAdded) 0,3 ClaimActivityLog))
Pattern 274: ((AudatexReceipt 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox))) 0,2 ClaimActivityLog)
Pattern 275: ((AudatexReceipt 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox))) 1,3 FYISent)
Pattern 276: (UnsuspendedItem 11,12 (AudatexReceipt 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox))))
Pattern 277: (Vehicle 0,1 (AudatexReceipt 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox))))
Pattern 278: (UnsuspendedItem 11,12 (SuspendedItem 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox))))
Pattern 279: (Vehicle 0,1 (SuspendedItem 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox))))
Pattern 280: (UnsuspendedItem 11,12 (Suspense 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox))))
Pattern 281: (Vehicle 0,1 (Suspense 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox))))
Pattern 282: (((Rental 22,27 (DocAddInProgress 1,2 RefRemFromInbox)) 1,2 ClaimActivityLog) 0,3 ClaimActivityLog)
Pattern 283: (((Vehicle 0,1 (DocAddInProgress 1,2 RefRemFromInbox)) 1,2 ClaimActivityLog) 0,3 ClaimActivityLog)
Pattern 284: (Rental 21,22 (((DocumentAdded 1,3 DocAddInProgress) 0,4 ClaimActivityLog) 0,3 ClaimActivityLog))
Pattern 285: (Rental 21,22 (((DocumentAdded 1,3 DocAddInProgress) 1,3 DocAddInProgress) 0,3 ClaimActivityLog))
Pattern 286: (Rental 21,22 (((DocumentAdded 1,3 DocAddInProgress) 1,3 DocumentAdded) 0,3 ClaimActivityLog))
Pattern 287: (Rental 21,22 (((DocumentAdded 1,3 DocumentAdded) 0,4 ClaimActivityLog) 0,3 ClaimActivityLog))
Pattern 288: (Rental 21,22 (((DocumentAdded 1,3 DocumentAdded) 1,3 DocAddInProgress) 0,3 ClaimActivityLog))
Pattern 289: (Rental 21,22 (((DocumentAdded 1,3 DocumentAdded) 1,3 DocumentAdded) 0,3 ClaimActivityLog))
Pattern 290: ((AudatexReceipt 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox))) 0,2 ClaimActivityLog)
Pattern 291: ((AudatexReceipt 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox))) 1,3 FYISent)
Pattern 292: (UnsuspendedItem 11,12 (AudatexReceipt 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox))))
Pattern 293: (Vehicle 0,1 (AudatexReceipt 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox))))
Pattern 294: (UnsuspendedItem 11,12 (SuspendedItem 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox))))
Pattern 295: (Vehicle 0,1 (SuspendedItem 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox))))
Pattern 296: (UnsuspendedItem 11,12 (Suspense 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox))))
Pattern 297: (Vehicle 0,1 (Suspense 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox))))
Pattern 298: (((Rental 22,27 (DocumentAdded 1,2 RefRemFromInbox)) 1,2 ClaimActivityLog) 0,3 ClaimActivityLog)
Pattern 299: (((Vehicle 0,1 (DocumentAdded 1,2 RefRemFromInbox)) 1,2 ClaimActivityLog) 0,3 ClaimActivityLog)
Pattern 300: (RefSentPD 21,24 (((ItmReAssToFHndler 0,5 RefRemFromInbox) 1,6 Vehicle) 22,25 AudatexReceipt))
Pattern 301: (SuspendedItem 21,24 (((ItmReAssToFHndler 0,5 RefRemFromInbox) 1,6 Vehicle) 22,25 AudatexReceipt))
Pattern 302: ((Suspense 21,24 ((ItmReAssToFHndler 0,5 RefRemFromInbox) 1,6 Vehicle)) 22,25 AudatexReceipt)
Pattern 303: (UnsuspendedItem 10,11 (Suspense 21,24 ((ItmReAssToFHndler 0,5 RefRemFromInbox) 1,6 Vehicle)))
Pattern 304: (UnsuspendedItem 10,11 (Vehicle 0,1 ((AudatexReceipt 0,1 Referral) 23,24 (Rental 23,24 RefRemFromInbox))))
Pattern 305: (UnsuspendedItem 10,11 (Vehicle 0,1 (((AudatexReceipt 0,1 Referral) 23,24 Rental) 27,30 FYISent)))
Pattern 306: (UnsuspendedItem 11,12 ((AudatexReceipt 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox))) 1,3 FYISent))
Pattern 307: (Vehicle 0,1 ((AudatexReceipt 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox))) 1,3 FYISent))
Pattern 308: (UnsuspendedItem 10,11 (Vehicle 0,1 (AudatexReceipt 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox)))))
Pattern 309: (UnsuspendedItem 10,11 (Vehicle 0,1 (SuspendedItem 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox)))))
Pattern 310: (UnsuspendedItem 10,11 (Vehicle 0,1 (Suspense 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox)))))
Pattern 311: (UnsuspendedItem 11,12 ((AudatexReceipt 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox))) 1,3 FYISent))
Pattern 312: (Vehicle 0,1 ((AudatexReceipt 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox))) 1,3 FYISent))
Pattern 313: (UnsuspendedItem 10,11 (Vehicle 0,1 (AudatexReceipt 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox)))))
Pattern 314: (UnsuspendedItem 10,11 (Vehicle 0,1 (SuspendedItem 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox)))))
Pattern 315: (UnsuspendedItem 10,11 (Vehicle 0,1 (Suspense 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox)))))
Pattern 316: (UnsuspendedItem 10,11 (Vehicle 0,1 ((AudatexReceipt 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox))) 1,3 FYISent)))
Pattern 317: (UnsuspendedItem 10,11 (Vehicle 0,1 ((AudatexReceipt 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox))) 1,3 FYISent)))
