Starting at 2016-03-11 16:21:27.821294...

	
Parameters:	
Table:claim_events_simple	
Limit Infrequent Events: 1	
Limit Infrequent Pairs: 1	
Prune KL-Divergence: False	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.001	

Found:0 Checked:1 Candidates:10282  (AllegedRemoved AssRouteToOffice)
Found:491 Checked:24425 Candidates:294738  (AssociatedToClaim (ClaimReported 0,21 FYISent))
Found:491 Checked:24426 Candidates:294737  ((ClaimReported 0,21 FYISent) AssociatedToParty)
Found:491 Checked:24427 Candidates:294736  (AssociatedToParty (ClaimReported 0,21 FYISent))
Found:491 Checked:24428 Candidates:294735  ((ClaimReported 0,21 FYISent) AssReRouteQueue)
Found:491 Checked:24429 Candidates:294734  (AssReRouteQueue (ClaimReported 0,21 FYISent))
Found:491 Checked:24430 Candidates:294733  ((ClaimReported 0,21 FYISent) AssRouteToOffice)
Found:491 Checked:24431 Candidates:294732  (AssRouteToOffice (ClaimReported 0,21 FYISent))
Found:491 Checked:24432 Candidates:294731  ((ClaimReported 0,21 FYISent) AssToFileHandler)
Found:491 Checked:24433 Candidates:294730  (AssToFileHandler (ClaimReported 0,21 FYISent))
Found:491 Checked:24434 Candidates:294729  ((ClaimReported 0,21 FYISent) AudatexReceipt)
Found:491 Checked:24435 Candidates:294728  (AudatexReceipt (ClaimReported 0,21 FYISent))
Found:491 Checked:24436 Candidates:294727  ((ClaimReported 0,21 FYISent) ClaimActivityLog)
Found:491 Checked:24437 Candidates:294726  (ClaimActivityLog (ClaimReported 0,21 FYISent))
Found:491 Checked:24438 Candidates:294725  ((ClaimReported 0,21 FYISent) ClaimClosed)
Found:491 Checked:24439 Candidates:294724  (ClaimClosed (ClaimReported 0,21 FYISent))
Found:491 Checked:24440 Candidates:294723  ((ClaimReported 0,21 FYISent) ClaimEdited)
Distribution for ((ClaimReported 0,21 FYISent) 1,4 ClaimEdited)
N_a: 6, N_ab: 6, Critical interval: ((1, 4)), P(success): 0.2939, p_value: 0.0006

Found:492 Checked:24441 Candidates:295430  (ClaimEdited (ClaimReported 0,21 FYISent))
Found:492 Checked:24442 Candidates:295429  ((ClaimReported 0,21 FYISent) ClaimReopened)
Found:492 Checked:24443 Candidates:295428  (ClaimReopened (ClaimReported 0,21 FYISent))
Found:492 Checked:24444 Candidates:295427  ((ClaimReported 0,21 FYISent) ClaimReported)
Found:492 Checked:24445 Candidates:295426  (ClaimReported (ClaimReported 0,21 FYISent))
Found:492 Checked:24446 Candidates:295425  ((ClaimReported 0,21 FYISent) ClaimSecured)
Found:492 Checked:24447 Candidates:295424  (ClaimSecured (ClaimReported 0,21 FYISent))
Found:492 Checked:24448 Candidates:295423  ((ClaimReported 0,21 FYISent) ClaimSetup)
Found:492 Checked:24449 Candidates:295422  (ClaimSetup (ClaimReported 0,21 FYISent))
Found:492 Checked:24450 Candidates:295421  ((ClaimReported 0,21 FYISent) ClaimSummary)
Found:492 Checked:24451 Candidates:295420  (ClaimSummary (ClaimReported 0,21 FYISent))
Found:492 Checked:24452 Candidates:295419  ((ClaimReported 0,21 FYISent) ClaimUnsecured)
Found:492 Checked:24453 Candidates:295418  (ClaimUnsecured (ClaimReported 0,21 FYISent))
Found:492 Checked:24454 Candidates:295417  ((ClaimReported 0,21 FYISent) Contact)
Found:492 Checked:24455 Candidates:295416  (Contact (ClaimReported 0,21 FYISent))
Found:492 Checked:24456 Candidates:295415  ((ClaimReported 0,21 FYISent) COPSCarAsgSentCRP)
Found:492 Checked:24457 Candidates:295414  (COPSCarAsgSentCRP (ClaimReported 0,21 FYISent))
Found:492 Checked:24458 Candidates:295413  ((ClaimReported 0,21 FYISent) COPSCarAsgSentPDR)
Found:492 Checked:24459 Candidates:295412  (COPSCarAsgSentPDR (ClaimReported 0,21 FYISent))
Found:492 Checked:24460 Candidates:295411  ((ClaimReported 0,21 FYISent) Correspondencsent)
Found:492 Checked:24461 Candidates:295410  (Correspondencsent (ClaimReported 0,21 FYISent))
Found:492 Checked:24462 Candidates:295409  ((ClaimReported 0,21 FYISent) Coverage)
Found:492 Checked:24463 Candidates:295408  (Coverage (ClaimReported 0,21 FYISent))
Found:492 Checked:24464 Candidates:295407  ((ClaimReported 0,21 FYISent) DocAddInProgress)
Found:492 Checked:24465 Candidates:295406  (DocAddInProgress (ClaimReported 0,21 FYISent))
Found:492 Checked:24466 Candidates:295405  ((ClaimReported 0,21 FYISent) DocumentAdded)
Found:492 Checked:24467 Candidates:295404  (DocumentAdded (ClaimReported 0,21 FYISent))
Found:492 Checked:24468 Candidates:295403  ((ClaimReported 0,21 FYISent) DocumentFiled)
Found:492 Checked:24469 Candidates:295402  (DocumentFiled (ClaimReported 0,21 FYISent))
Found:492 Checked:24470 Candidates:295401  ((ClaimReported 0,21 FYISent) EORSent)
Found:492 Checked:24471 Candidates:295400  (EORSent (ClaimReported 0,21 FYISent))
Found:492 Checked:24472 Candidates:295399  ((ClaimReported 0,21 FYISent) FYISent)
Found:492 Checked:24473 Candidates:295398  (FYISent (ClaimReported 0,21 FYISent))
Found:492 Checked:24474 Candidates:295397  ((ClaimReported 0,21 FYISent) grpPymtSubmit)
Found:492 Checked:24475 Candidates:295396  (grpPymtSubmit (ClaimReported 0,21 FYISent))
Found:492 Checked:24476 Candidates:295395  ((ClaimReported 0,21 FYISent) Inbound)
Found:492 Checked:24477 Candidates:295394  (Inbound (ClaimReported 0,21 FYISent))
Found:492 Checked:24478 Candidates:295393  ((ClaimReported 0,21 FYISent) InitialContact)
Found:492 Checked:24479 Candidates:295392  (InitialContact (ClaimReported 0,21 FYISent))
Found:492 Checked:24480 Candidates:295391  ((ClaimReported 0,21 FYISent) IsoAutUpdRpt)
Found:492 Checked:24481 Candidates:295390  (IsoAutUpdRpt (ClaimReported 0,21 FYISent))
Found:492 Checked:24482 Candidates:295389  ((ClaimReported 0,21 FYISent) IsoMatchRpt)
Found:492 Checked:24483 Candidates:295388  (IsoMatchRpt (ClaimReported 0,21 FYISent))
Found:492 Checked:24484 Candidates:295387  ((ClaimReported 0,21 FYISent) IsoNoMatchRpt)
Found:492 Checked:24485 Candidates:295386  (IsoNoMatchRpt (ClaimReported 0,21 FYISent))
Found:492 Checked:24486 Candidates:295385  ((ClaimReported 0,21 FYISent) ItemCompleteDenial)
Found:492 Checked:24487 Candidates:295384  (ItemCompleteDenial (ClaimReported 0,21 FYISent))
Found:492 Checked:24488 Candidates:295383  ((ClaimReported 0,21 FYISent) ItmReAssToFHndler)
Found:492 Checked:24489 Candidates:295382  (ItmReAssToFHndler (ClaimReported 0,21 FYISent))
Found:492 Checked:24490 Candidates:295381  ((ClaimReported 0,21 FYISent) LiabilityAnalysis)
Found:492 Checked:24491 Candidates:295380  (LiabilityAnalysis (ClaimReported 0,21 FYISent))
Found:492 Checked:24492 Candidates:295379  ((ClaimReported 0,21 FYISent) makePaymentSubmit)
Found:492 Checked:24493 Candidates:295378  (makePaymentSubmit (ClaimReported 0,21 FYISent))
Found:492 Checked:24494 Candidates:295377  ((ClaimReported 0,21 FYISent) ManualDeny)
Found:492 Checked:24495 Candidates:295376  (ManualDeny (ClaimReported 0,21 FYISent))
Found:492 Checked:24496 Candidates:295375  ((ClaimReported 0,21 FYISent) ManualPayment)
Found:492 Checked:24497 Candidates:295374  (ManualPayment (ClaimReported 0,21 FYISent))
Found:492 Checked:24498 Candidates:295373  ((ClaimReported 0,21 FYISent) Medical)
Found:492 Checked:24499 Candidates:295372  (Medical (ClaimReported 0,21 FYISent))
Found:492 Checked:24500 Candidates:295371  ((ClaimReported 0,21 FYISent) Medicare)
Found:492 Checked:24501 Candidates:295370  (Medicare (ClaimReported 0,21 FYISent))
Found:492 Checked:24502 Candidates:295369  ((ClaimReported 0,21 FYISent) MovefromClaim)
Found:492 Checked:24503 Candidates:295368  (MovefromClaim (ClaimReported 0,21 FYISent))
Found:492 Checked:24504 Candidates:295367  ((ClaimReported 0,21 FYISent) MoveFromInvstigatn)
Found:492 Checked:24505 Candidates:295366  (MoveFromInvstigatn (ClaimReported 0,21 FYISent))
Found:492 Checked:24506 Candidates:295365  ((ClaimReported 0,21 FYISent) MovetoParty)
Found:492 Checked:24507 Candidates:295364  (MovetoParty (ClaimReported 0,21 FYISent))
Found:492 Checked:24508 Candidates:295363  ((ClaimReported 0,21 FYISent) MultDocAddBegin)
Found:492 Checked:24509 Candidates:295362  (MultDocAddBegin (ClaimReported 0,21 FYISent))
Found:492 Checked:24510 Candidates:295361  ((ClaimReported 0,21 FYISent) MultipleDocAdded)
Found:492 Checked:24511 Candidates:295360  (MultipleDocAdded (ClaimReported 0,21 FYISent))
Found:492 Checked:24512 Candidates:295359  ((ClaimReported 0,21 FYISent) NoteTrnsFrm)
Found:492 Checked:24513 Candidates:295358  (NoteTrnsFrm (ClaimReported 0,21 FYISent))
Found:492 Checked:24514 Candidates:295357  ((ClaimReported 0,21 FYISent) Outbound)
Found:492 Checked:24515 Candidates:295356  (Outbound (ClaimReported 0,21 FYISent))
Found:492 Checked:24516 Candidates:295355  ((ClaimReported 0,21 FYISent) PartyAdded)
Found:492 Checked:24517 Candidates:295354  (PartyAdded (ClaimReported 0,21 FYISent))
Found:492 Checked:24518 Candidates:295353  ((ClaimReported 0,21 FYISent) PartyEdited)
Found:492 Checked:24519 Candidates:295352  (PartyEdited (ClaimReported 0,21 FYISent))
Found:492 Checked:24520 Candidates:295351  ((ClaimReported 0,21 FYISent) PaymentBlockSet)
Found:492 Checked:24521 Candidates:295350  (PaymentBlockSet (ClaimReported 0,21 FYISent))
Found:492 Checked:24522 Candidates:295349  ((ClaimReported 0,21 FYISent) PerilActivity)
Found:492 Checked:24523 Candidates:295348  (PerilActivity (ClaimReported 0,21 FYISent))
Found:492 Checked:24524 Candidates:295347  ((ClaimReported 0,21 FYISent) Perils/Reserves)
Found:492 Checked:24525 Candidates:295346  (Perils/Reserves (ClaimReported 0,21 FYISent))
Found:492 Checked:24526 Candidates:295345  ((ClaimReported 0,21 FYISent) ReasonforEscalation)
Found:492 Checked:24527 Candidates:295344  (ReasonforEscalation (ClaimReported 0,21 FYISent))
Found:492 Checked:24528 Candidates:295343  ((ClaimReported 0,21 FYISent) ReceiptItem)
Found:492 Checked:24529 Candidates:295342  (ReceiptItem (ClaimReported 0,21 FYISent))
Found:492 Checked:24530 Candidates:295341  ((ClaimReported 0,21 FYISent) recordManualPymt)
Found:492 Checked:24531 Candidates:295340  (recordManualPymt (ClaimReported 0,21 FYISent))
Found:492 Checked:24532 Candidates:295339  ((ClaimReported 0,21 FYISent) RefAssign)
Found:492 Checked:24533 Candidates:295338  (RefAssign (ClaimReported 0,21 FYISent))
Found:492 Checked:24534 Candidates:295337  ((ClaimReported 0,21 FYISent) RefCompPDVE)
Found:492 Checked:24535 Candidates:295336  (RefCompPDVE (ClaimReported 0,21 FYISent))
Found:492 Checked:24536 Candidates:295335  ((ClaimReported 0,21 FYISent) Referral)
Found:492 Checked:24537 Candidates:295334  (Referral (ClaimReported 0,21 FYISent))
Found:492 Checked:24538 Candidates:295333  ((ClaimReported 0,21 FYISent) RefRemFromInbox)
Found:492 Checked:24539 Candidates:295332  (RefRemFromInbox (ClaimReported 0,21 FYISent))
Found:492 Checked:24540 Candidates:295331  ((ClaimReported 0,21 FYISent) RefRespAuthority)
Found:492 Checked:24541 Candidates:295330  (RefRespAuthority (ClaimReported 0,21 FYISent))
Found:492 Checked:24542 Candidates:295329  ((ClaimReported 0,21 FYISent) RefRespCSLT)
Found:492 Checked:24543 Candidates:295328  (RefRespCSLT (ClaimReported 0,21 FYISent))
Found:492 Checked:24544 Candidates:295327  ((ClaimReported 0,21 FYISent) RefRespGeneral)
Found:492 Checked:24545 Candidates:295326  (RefRespGeneral (ClaimReported 0,21 FYISent))
Found:492 Checked:24546 Candidates:295325  ((ClaimReported 0,21 FYISent) RefRespPD)
Found:492 Checked:24547 Candidates:295324  (RefRespPD (ClaimReported 0,21 FYISent))
Found:492 Checked:24548 Candidates:295323  ((ClaimReported 0,21 FYISent) RefRespPDVE)
Found:492 Checked:24549 Candidates:295322  (RefRespPDVE (ClaimReported 0,21 FYISent))
Found:492 Checked:24550 Candidates:295321  ((ClaimReported 0,21 FYISent) RefRespRCC)
Found:492 Checked:24551 Candidates:295320  (RefRespRCC (ClaimReported 0,21 FYISent))
Found:492 Checked:24552 Candidates:295319  ((ClaimReported 0,21 FYISent) RefRespRental)
Found:492 Checked:24553 Candidates:295318  (RefRespRental (ClaimReported 0,21 FYISent))
Found:492 Checked:24554 Candidates:295317  ((ClaimReported 0,21 FYISent) RefRespSalvage)
Found:492 Checked:24555 Candidates:295316  (RefRespSalvage (ClaimReported 0,21 FYISent))
Found:492 Checked:24556 Candidates:295315  ((ClaimReported 0,21 FYISent) RefSentAuthority)
Found:492 Checked:24557 Candidates:295314  (RefSentAuthority (ClaimReported 0,21 FYISent))
Found:492 Checked:24558 Candidates:295313  ((ClaimReported 0,21 FYISent) RefSentCRD)
Found:492 Checked:24559 Candidates:295312  (RefSentCRD (ClaimReported 0,21 FYISent))
Found:492 Checked:24560 Candidates:295311  ((ClaimReported 0,21 FYISent) RefSentCSLT)
Found:492 Checked:24561 Candidates:295310  (RefSentCSLT (ClaimReported 0,21 FYISent))
Found:492 Checked:24562 Candidates:295309  ((ClaimReported 0,21 FYISent) RefSentGeneral)
Found:492 Checked:24563 Candidates:295308  (RefSentGeneral (ClaimReported 0,21 FYISent))
Found:492 Checked:24564 Candidates:295307  ((ClaimReported 0,21 FYISent) RefSentPD)
Found:492 Checked:24565 Candidates:295306  (RefSentPD (ClaimReported 0,21 FYISent))
Found:492 Checked:24566 Candidates:295305  ((ClaimReported 0,21 FYISent) RefSentPDVE)
Found:492 Checked:24567 Candidates:295304  (RefSentPDVE (ClaimReported 0,21 FYISent))
Found:492 Checked:24568 Candidates:295303  ((ClaimReported 0,21 FYISent) RefSentRCC)
Found:492 Checked:24569 Candidates:295302  (RefSentRCC (ClaimReported 0,21 FYISent))
Found:492 Checked:24570 Candidates:295301  ((ClaimReported 0,21 FYISent) RefSentRental)
Found:492 Checked:24571 Candidates:295300  (RefSentRental (ClaimReported 0,21 FYISent))
Found:492 Checked:24572 Candidates:295299  ((ClaimReported 0,21 FYISent) RefSentSalvage)
Found:492 Checked:24573 Candidates:295298  (RefSentSalvage (ClaimReported 0,21 FYISent))
Found:492 Checked:24574 Candidates:295297  ((ClaimReported 0,21 FYISent) Rental)
Found:492 Checked:24575 Candidates:295296  (Rental (ClaimReported 0,21 FYISent))
Found:492 Checked:24576 Candidates:295295  ((ClaimReported 0,21 FYISent) ReturnFrBillAudit)
Found:492 Checked:24577 Candidates:295294  (ReturnFrBillAudit (ClaimReported 0,21 FYISent))
Found:492 Checked:24578 Candidates:295293  ((ClaimReported 0,21 FYISent) ReviewRemFromInbox)
Found:492 Checked:24579 Candidates:295292  (ReviewRemFromInbox (ClaimReported 0,21 FYISent))
Found:492 Checked:24580 Candidates:295291  ((ClaimReported 0,21 FYISent) RiskReviewSent)
Found:492 Checked:24581 Candidates:295290  (RiskReviewSent (ClaimReported 0,21 FYISent))
Found:492 Checked:24582 Candidates:295289  ((ClaimReported 0,21 FYISent) RouteToInbox)
Found:492 Checked:24583 Candidates:295288  (RouteToInbox (ClaimReported 0,21 FYISent))
Found:492 Checked:24584 Candidates:295287  ((ClaimReported 0,21 FYISent) Salvage)
Found:492 Checked:24585 Candidates:295286  (Salvage (ClaimReported 0,21 FYISent))
Found:492 Checked:24586 Candidates:295285  ((ClaimReported 0,21 FYISent) SentToBillAudit)
Found:492 Checked:24587 Candidates:295284  (SentToBillAudit (ClaimReported 0,21 FYISent))
Found:492 Checked:24588 Candidates:295283  ((ClaimReported 0,21 FYISent) SuspendedItem)
Found:492 Checked:24589 Candidates:295282  (SuspendedItem (ClaimReported 0,21 FYISent))
Found:492 Checked:24590 Candidates:295281  ((ClaimReported 0,21 FYISent) Suspense)
Found:492 Checked:24591 Candidates:295280  (Suspense (ClaimReported 0,21 FYISent))
Found:492 Checked:24592 Candidates:295279  ((ClaimReported 0,21 FYISent) TLWCompleteTtlLoss)
Found:492 Checked:24593 Candidates:295278  (TLWCompleteTtlLoss (ClaimReported 0,21 FYISent))
Found:492 Checked:24594 Candidates:295277  ((ClaimReported 0,21 FYISent) TLWReopened)
Found:492 Checked:24595 Candidates:295276  (TLWReopened (ClaimReported 0,21 FYISent))
Found:492 Checked:24596 Candidates:295275  ((ClaimReported 0,21 FYISent) UnsuspendedItem)
Found:492 Checked:24597 Candidates:295274  (UnsuspendedItem (ClaimReported 0,21 FYISent))
Found:492 Checked:24598 Candidates:295273  ((ClaimReported 0,21 FYISent) Vehicle)
Found:492 Checked:24599 Candidates:295272  (Vehicle (ClaimReported 0,21 FYISent))
Found:492 Checked:24600 Candidates:295271  ((ClaimReported 0,21 FYISent) VehicleEdited)
Found:492 Checked:24601 Candidates:295270  (VehicleEdited (ClaimReported 0,21 FYISent))
Found:492 Checked:24602 Candidates:295269  ((ClaimReported 0,21 FYISent) VehSlvgLogCompltd)
Found:492 Checked:24603 Candidates:295268  (VehSlvgLogCompltd (ClaimReported 0,21 FYISent))
Found:492 Checked:24604 Candidates:295267  ((ClaimReported 0,21 FYISent) XPayAuthApprv)
Found:492 Checked:24605 Candidates:295266  (XPayAuthApprv (ClaimReported 0,21 FYISent))
Found:492 Checked:24606 Candidates:295265  ((ClaimReported 0,21 FYISent) XPayAuthEscalate)
Found:492 Checked:24607 Candidates:295264  (XPayAuthEscalate (ClaimReported 0,21 FYISent))
Found:492 Checked:24608 Candidates:295263  ((ClaimReported 0,21 FYISent) XPayAuthLimit)
Found:492 Checked:24609 Candidates:295262  (XPayAuthLimit (ClaimReported 0,21 FYISent))
Found:492 Checked:24610 Candidates:295261  ((ClaimReported 0,21 FYISent) (AssReRouteQueue 0,3 AssToFileHandler))
Found:492 Checked:24611 Candidates:295260  ((AssReRouteQueue 0,3 AssToFileHandler) (ClaimReported 0,21 FYISent))
Found:492 Checked:24612 Candidates:295259  ((ClaimReported 0,21 FYISent) (AssReRouteQueue 1,2 ClaimActivityLog))
Found:492 Checked:24613 Candidates:295258  ((AssReRouteQueue 1,2 ClaimActivityLog) (ClaimReported 0,21 FYISent))
Found:492 Checked:24614 Candidates:295257  ((ClaimReported 0,21 FYISent) (AssReRouteQueue 1,7 InitialContact))
Found:492 Checked:24615 Candidates:295256  ((AssReRouteQueue 1,7 InitialContact) (ClaimReported 0,21 FYISent))
Found:492 Checked:24616 Candidates:295255  ((ClaimReported 0,21 FYISent) (AssReRouteQueue 1,3 ReviewRemFromInbox))
Found:492 Checked:24617 Candidates:295254  ((AssReRouteQueue 1,3 ReviewRemFromInbox) (ClaimReported 0,21 FYISent))
Found:492 Checked:24618 Candidates:295253  ((ClaimReported 0,21 FYISent) (AssRouteToOffice 0,21 AssToFileHandler))
Found:492 Checked:24619 Candidates:295252  ((AssRouteToOffice 0,21 AssToFileHandler) (ClaimReported 0,21 FYISent))
Found:492 Checked:24620 Candidates:295251  ((ClaimReported 0,21 FYISent) (AssRouteToOffice 1,23 ClaimActivityLog))
Found:492 Checked:24621 Candidates:295250  ((AssRouteToOffice 1,23 ClaimActivityLog) (ClaimReported 0,21 FYISent))
Found:492 Checked:24622 Candidates:295249  ((ClaimReported 0,21 FYISent) (AssRouteToOffice 0,23 ClaimEdited))
Found:492 Checked:24623 Candidates:295248  ((AssRouteToOffice 0,23 ClaimEdited) (ClaimReported 0,21 FYISent))
Found:492 Checked:24624 Candidates:295247  ((ClaimReported 0,21 FYISent) (AssRouteToOffice 0,23 InitialContact))
Found:492 Checked:24625 Candidates:295246  ((AssRouteToOffice 0,23 InitialContact) (ClaimReported 0,21 FYISent))
Found:492 Checked:24626 Candidates:295245  ((ClaimReported 0,21 FYISent) (AssRouteToOffice 0,7 LiabilityAnalysis))
Found:492 Checked:24627 Candidates:295244  ((AssRouteToOffice 0,7 LiabilityAnalysis) (ClaimReported 0,21 FYISent))
Found:492 Checked:24628 Candidates:295243  ((ClaimReported 0,21 FYISent) (AssRouteToOffice 0,23 Outbound))
Found:492 Checked:24629 Candidates:295242  ((AssRouteToOffice 0,23 Outbound) (ClaimReported 0,21 FYISent))
Found:492 Checked:24630 Candidates:295241  ((ClaimReported 0,21 FYISent) (AssRouteToOffice 0,23 PerilActivity))
Found:492 Checked:24631 Candidates:295240  ((AssRouteToOffice 0,23 PerilActivity) (ClaimReported 0,21 FYISent))
Found:492 Checked:24632 Candidates:295239  ((ClaimReported 0,21 FYISent) (AssRouteToOffice 0,11 ReviewRemFromInbox))
Found:492 Checked:24633 Candidates:295238  ((AssRouteToOffice 0,11 ReviewRemFromInbox) (ClaimReported 0,21 FYISent))
Found:492 Checked:24634 Candidates:295237  ((ClaimReported 0,21 FYISent) (AssRouteToOffice 0,23 SuspendedItem))
Found:492 Checked:24635 Candidates:295236  ((AssRouteToOffice 0,23 SuspendedItem) (ClaimReported 0,21 FYISent))
Found:492 Checked:24636 Candidates:295235  ((ClaimReported 0,21 FYISent) (AssRouteToOffice 0,23 Suspense))
Found:492 Checked:24637 Candidates:295234  ((AssRouteToOffice 0,23 Suspense) (ClaimReported 0,21 FYISent))
Found:492 Checked:24638 Candidates:295233  ((ClaimReported 0,21 FYISent) (AssRouteToOffice 1,23 Vehicle))
Found:492 Checked:24639 Candidates:295232  ((AssRouteToOffice 1,23 Vehicle) (ClaimReported 0,21 FYISent))
Found:492 Checked:24640 Candidates:295231  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,7 ClaimActivityLog))
Found:492 Checked:24641 Candidates:295230  ((AssToFileHandler 0,7 ClaimActivityLog) (ClaimReported 0,21 FYISent))
Found:492 Checked:24642 Candidates:295229  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,9 ClaimEdited))
Found:492 Checked:24643 Candidates:295228  ((AssToFileHandler 0,9 ClaimEdited) (ClaimReported 0,21 FYISent))
Found:492 Checked:24644 Candidates:295227  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,7 COPSCarAsgSentCRP))
Found:492 Checked:24645 Candidates:295226  ((AssToFileHandler 0,7 COPSCarAsgSentCRP) (ClaimReported 0,21 FYISent))
Found:492 Checked:24646 Candidates:295225  ((ClaimReported 0,21 FYISent) (AssToFileHandler 1,3 Correspondencsent))
Found:492 Checked:24647 Candidates:295224  ((AssToFileHandler 1,3 Correspondencsent) (ClaimReported 0,21 FYISent))
Found:492 Checked:24648 Candidates:295223  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,6 DocAddInProgress))
Found:492 Checked:24649 Candidates:295222  ((AssToFileHandler 0,6 DocAddInProgress) (ClaimReported 0,21 FYISent))
Found:492 Checked:24650 Candidates:295221  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,6 DocumentAdded))
Found:492 Checked:24651 Candidates:295220  ((AssToFileHandler 0,6 DocumentAdded) (ClaimReported 0,21 FYISent))
Found:492 Checked:24652 Candidates:295219  ((ClaimReported 0,21 FYISent) (AssToFileHandler 1,2 FYISent))
Found:492 Checked:24653 Candidates:295218  ((AssToFileHandler 1,2 FYISent) (ClaimReported 0,21 FYISent))
Found:492 Checked:24654 Candidates:295217  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,9 InitialContact))
Found:492 Checked:24655 Candidates:295216  ((AssToFileHandler 0,9 InitialContact) (ClaimReported 0,21 FYISent))
Found:492 Checked:24656 Candidates:295215  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,9 LiabilityAnalysis))
Found:492 Checked:24657 Candidates:295214  ((AssToFileHandler 0,9 LiabilityAnalysis) (ClaimReported 0,21 FYISent))
Found:492 Checked:24658 Candidates:295213  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,7 Outbound))
Found:492 Checked:24659 Candidates:295212  ((AssToFileHandler 0,7 Outbound) (ClaimReported 0,21 FYISent))
Found:492 Checked:24660 Candidates:295211  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,2 PartyEdited))
Found:492 Checked:24661 Candidates:295210  ((AssToFileHandler 0,2 PartyEdited) (ClaimReported 0,21 FYISent))
Found:492 Checked:24662 Candidates:295209  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,9 PerilActivity))
Found:492 Checked:24663 Candidates:295208  ((AssToFileHandler 0,9 PerilActivity) (ClaimReported 0,21 FYISent))
Found:492 Checked:24664 Candidates:295207  ((ClaimReported 0,21 FYISent) (AssToFileHandler 1,2 Referral))
Found:492 Checked:24665 Candidates:295206  ((AssToFileHandler 1,2 Referral) (ClaimReported 0,21 FYISent))
Found:492 Checked:24666 Candidates:295205  ((ClaimReported 0,21 FYISent) (AssToFileHandler 1,2 Rental))
Found:492 Checked:24667 Candidates:295204  ((AssToFileHandler 1,2 Rental) (ClaimReported 0,21 FYISent))
Found:492 Checked:24668 Candidates:295203  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,5 ReviewRemFromInbox))
Found:492 Checked:24669 Candidates:295202  ((AssToFileHandler 0,5 ReviewRemFromInbox) (ClaimReported 0,21 FYISent))
Found:492 Checked:24670 Candidates:295201  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,9 SuspendedItem))
Found:492 Checked:24671 Candidates:295200  ((AssToFileHandler 0,9 SuspendedItem) (ClaimReported 0,21 FYISent))
Found:492 Checked:24672 Candidates:295199  ((ClaimReported 0,21 FYISent) (AssToFileHandler 0,9 Suspense))
Found:492 Checked:24673 Candidates:295198  ((AssToFileHandler 0,9 Suspense) (ClaimReported 0,21 FYISent))
Found:492 Checked:24674 Candidates:295197  ((ClaimReported 0,21 FYISent) (AudatexReceipt 1,3 AudatexReceipt))
Found:492 Checked:24675 Candidates:295196  ((AudatexReceipt 1,3 AudatexReceipt) (ClaimReported 0,21 FYISent))
Found:492 Checked:24676 Candidates:295195  ((ClaimReported 0,21 FYISent) (AudatexReceipt 0,2 Vehicle))
Found:492 Checked:24677 Candidates:295194  ((AudatexReceipt 0,2 Vehicle) (ClaimReported 0,21 FYISent))
Found:492 Checked:24678 Candidates:295193  ((ClaimReported 0,21 FYISent) (ClaimActivityLog 1,2 ClaimActivityLog))
Found:492 Checked:24679 Candidates:295192  ((ClaimActivityLog 1,2 ClaimActivityLog) (ClaimReported 0,21 FYISent))
Found:492 Checked:24680 Candidates:295191  ((ClaimReported 0,21 FYISent) (ClaimActivityLog 1,2 ClaimEdited))
Found:492 Checked:24681 Candidates:295190  ((ClaimActivityLog 1,2 ClaimEdited) (ClaimReported 0,21 FYISent))
Found:492 Checked:24682 Candidates:295189  ((ClaimReported 0,21 FYISent) (ClaimActivityLog 1,2 LiabilityAnalysis))
Found:492 Checked:24683 Candidates:295188  ((ClaimActivityLog 1,2 LiabilityAnalysis) (ClaimReported 0,21 FYISent))
Found:492 Checked:24684 Candidates:295187  ((ClaimReported 0,21 FYISent) (ClaimActivityLog 1,2 SuspendedItem))
Found:492 Checked:24685 Candidates:295186  ((ClaimActivityLog 1,2 SuspendedItem) (ClaimReported 0,21 FYISent))
Found:492 Checked:24686 Candidates:295185  ((ClaimReported 0,21 FYISent) (ClaimActivityLog 1,2 Suspense))
Found:492 Checked:24687 Candidates:295184  ((ClaimActivityLog 1,2 Suspense) (ClaimReported 0,21 FYISent))
Found:492 Checked:24688 Candidates:295183  ((ClaimReported 0,21 FYISent) (ClaimClosed 0,5 Vehicle))
Found:492 Checked:24689 Candidates:295182  ((ClaimClosed 0,5 Vehicle) (ClaimReported 0,21 FYISent))
Found:492 Checked:24690 Candidates:295181  ((ClaimReported 0,21 FYISent) (ClaimEdited 1,2 AssToFileHandler))
Found:492 Checked:24691 Candidates:295180  ((ClaimEdited 1,2 AssToFileHandler) (ClaimReported 0,21 FYISent))
